True,4 Week Moving Average,Ridge Regression Senors + Time
12.634580985202263,6.336662613176013,12.81299900294106
7.6809337108947835,10.719159118436203,7.81399975827393
12.709520948856206,10.157757348048523,12.672967916112174
10.761925056682665,10.195227329875495,10.74156587897459
9.072531601422515,11.735723002769436,8.978860494836884
10.469340941580622,9.917228329052591,10.328560478007542
1.545646957569711,9.770936271501569,1.6912734763384711
1.0021576780109465,6.007493949575166,1.0707958259261412
2.56673302937598,1.2739023177903288,2.1642763792940936
1.7032387588089872,1.7844453536934632,1.8561944185059673
2.5324703685791286,2.1349858940924835,2.696402372060171
2.5213728798916195,2.117854563694058,2.4828417527414723
2.906340180917734,2.5269216242353743,2.6683300712600815
4.281122975538309,2.7138565304046764,4.0249988017486045
4.419716944385654,3.593731578228021,4.101762590476104
4.619847491740947,4.3504199599619815,4.572540517092179
4.106634891507102,4.5197822180633,4.22030820529815
4.518169936722057,4.363241191624024,4.6542637995950935
3.514892466413226,4.31240241411458,3.151434828435936
3.9968087388385967,4.016531201567641,3.5540455419559636
